"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Georgia","GEO","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33","1.73","1.72","1.87","1.8","2","2.05","2.01","1.91","1.95","2.03","2.01","1.98","1.89","1.84","1.76","1.9","2.09","","",
"Ghana","GHA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82","2.87","","","2.62","","","","","","","2.22","","","","","","","1.9","","","","","","","","","","",
"Guinea","GIN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","","2.07","","","","","","","","2.29","","","","","2.45","","","","","3.03","","","",
"Gambia, The","GMB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83","","","","","1.79","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.23","","","","","","","","","2.93","","","","","","","","1.63","","","","","",
"Equatorial Guinea","GNQ","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.28","2.31","2.2","2.27","2.45","2.22","1.63","1.74","","","",
"Grenada","GRD","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","0.68","","","","","","","","","","","1.09","","0.61","0.83","1.09","","1.07","","","","","1.34","","","","",
"Guam","GUM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","",
"High income","HIC","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23","","","1.04","1.02","1.25","1.34","1.19","0.99","1.04","0.93","1.23","0.51","0.55","","0.79","0.38","0.65","0.64","0.48","0.58","0.9","0.91","1.15","1.09","0.75","0.79","0.98","","",
"Heavily indebted poor countries (HIPC)","HPC","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.31","","","","","","","","","","3.53","3.79","3.54","3.52","","","3.52","","","","3.29","3.24","3.94","2.48","","","","",
"Haiti","HTI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","0.55","","","",
"Hungary","HUN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.96","","4.63","","","","4.1","","","","","4.02","3.99","4","3.89","4.04","3.34","3.5","3.44","3.44","3.39","3.55","3.59","3.28","3.19","2.99","","","",
"Indonesia","IDN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","3.74","","","4.07","","","4.17","","","4.22","","","4","","","4.25","","","4.29","","","3.67","","","3.56","","3.36","","","","","",
"Isle of Man","IMN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","3.77","","","","3.91","","","","","","3.95","","","","","","","","","","","3.75","","","","","3.69","","3.52","","","","",
"Not classified","INX","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94","3.14","3.11","3.3","3.26","2.86","2.85","2.87","3.05","","","",
"Iran, Islamic Rep.","IRN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81","","","","2.06","","","","2.23","","","","2.07","","","","","","","2.54","","","","2.1","","","","2.85","","",
"Iraq","IRQ","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68","","","",
"Iceland","ISL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72","3.46","3.56","3.65","3.51","3.62","3.7","3.58","3.67","","","",
"Israel","ISR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55","","","","","","2.79","","","","","2.42","","","","2.14","","","","1.67","","1.77","","","1.69","","","","","",
"Italy","ITA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28","2.24","2.29","2.41","2.39","2.27","2.04","2.14","1.92","","","",
"Jamaica","JAM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14","","2.47","","","2.72","","","2.51","","","2.05","","","1.82","","2.06","","","","","","","","","","","",
"Jordan","JOR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","","","","","","2.54","","","","","3.27","","","","","2.98","","","","3.33","","3.57","","3.45","","","","","",
"Japan","JPN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68","","","","","","","",
"Kazakhstan","KAZ","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07","","","","","3.07","","","2.66","","","","","2.69","3.02","3.13","3.41","3.61","3.74","3.88","3.98","3.89","4.03","4.11","4.13","4.3","","",
"Kenya","KEN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24","","1.83","","","2.19","","","","","","","","1.71","","","","","","","","","","",
"Kyrgyz Republic","KGZ","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","","","","","0.71","","","","","1.47","","3.65","3.7","3.61","3.92","3.2","2.36","2.5","4.06","3.46","3.91","3.63","4.2","4.02","","","",
"Cambodia","KHM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.45","","","","","","","","","","3.38","","","2.87","3.29","3.39","3.57","3.81","3.93","","","",
"Kiribati","KIR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22","","","","","","","","","",
"St. Kitts and Nevis","KNA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kosovo","KSV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83","","3.33","3.52","","","3.24","3.23","3.71","3.59","3.84","","",
"Kuwait","KWT","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
