,year,country,contcod,mean,region,gdpppp,pop,expgdp,xpo,mpo,gdp,openness,dfigdp,er,inf,nint,rint,democr2,m2gdp,kopen,expk,impk,rgdpch,open_ppp,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10
4150,1977,"Taiwan, China",TWN,,2.0,4974.0,16.6598,,10549.0,9509.0,21815.658203125,0.9194313287734985,,,,,,0.0,,0.6155775189399719,586000000000.0,527000000000.0,4711.3271484375,0.5164321064949036,,,,,,,,,,
4151,1978,"Taiwan, China",TWN,,2.0,5546.0,16.97373,,13913.0,12184.0,26727.81640625,0.9763985276222229,,,,,,0.0,,0.6456444263458252,723000000000.0,606000000000.0,5268.56884765625,0.5412353277206421,,,,,,,,,,
4152,1979,"Taiwan, China",TWN,,2.0,5884.0,17.30665,,17589.0,17198.0,33217.77734375,1.0472404956817627,,,,,,0.0,,0.6711118817329407,768000000000.0,723000000000.0,5587.05908203125,0.5615810751914978,,,,,,,,,,
4153,1980,"Taiwan, China",TWN,,2.0,6194.0,17.64125,,21495.0,22361.0,41418.3359375,1.0588546991348267,,,,,,0.0,,0.6696924567222595,829000000000.0,763000000000.0,5869.291015625,0.5599627494812012,,,,,,,,,,
4154,1981,"Taiwan, China",TWN,,2.0,6455.0,17.96974,,24811.0,23939.0,48204.62109375,1.011313796043396,,,,,,0.0,,0.6669757962226868,908000000000.0,778000000000.0,6122.671875,0.5580920577049255,,,,,,,,,,
4155,1982,"Taiwan, China",TWN,,2.0,6565.0,18.296290000000003,,24166.0,21755.0,48592.5859375,0.9450207352638245,,,,,,0.0,,0.6430233716964722,926000000000.0,763000000000.0,6234.78369140625,0.5392327904701233,,,,,,,,,,
4156,1983,"Taiwan, China",TWN,,2.0,7005.0,18.594990000000003,,27473.0,23089.0,52415.07421875,0.9646461606025696,,,,,,0.0,,0.677381157875061,1090000000000.0,846000000000.0,6668.7919921875,0.56858229637146,,,,,,,,,,
4157,1984,"Taiwan, China",TWN,,2.0,7634.0,18.87198,,32862.0,26346.0,59173.171875,1.0005885362625122,,,,,,0.0,,0.7119799852371216,1280000000000.0,966000000000.0,7248.6181640625,0.597954511642456,,,,,,,,,,
4158,1985,"Taiwan, China",TWN,,2.0,7902.0,19.1346,,33231.0,24805.0,62079.0,0.9348732829093933,,39.8489990234375,-0.20000000298023224,,,0.0,,0.675180971622467,1310000000000.0,931000000000.0,7510.88427734375,0.5678877830505371,,,,,,,,,,
4159,1986,"Taiwan, China",TWN,,2.0,8721.0,19.3563,,43356.0,28637.0,75458.0,0.9540804028511047,,37.92399978637695,0.699999988079071,,,0.0,,0.7516432404518127,1680000000000.0,1110000000000.0,8302.767578125,0.6322517991065979,,,,,,,,,,
4160,1987,"Taiwan, China",TWN,,2.0,9728.0,19.563599999999997,,57630.0,40997.0,101650.0,0.9702606797218323,,31.844999313354492,0.5,,,2.0,,0.8219797611236572,2010000000000.0,1420000000000.0,9248.1044921875,0.6904364824295044,,,,,,,,,,
4161,1988,"Taiwan, China",TWN,3051.0,2.0,10372.0,19.7882,,66190.0,57174.0,123240.0,1.0010061264038086,,28.58799934387207,1.2999999523162842,,,2.0,,0.8486448526382446,2110000000000.0,1700000000000.0,9843.56640625,0.7123563289642334,0.3792199194431305,0.519501805305481,0.6109472513198853,0.7004261016845703,0.7935103178024292,0.895771861076355,1.0229432582855225,1.1832185983657837,1.4552605152130127,2.440183639526367
4162,1989,"Taiwan, China",TWN,,2.0,11104.0,20.005599999999998,,73211.0,63127.0,149160.0,0.9140385985374451,,26.406999588012695,4.400000095367432,,,2.0,,0.8437566161155701,2220000000000.0,1890000000000.0,10558.5419921875,0.7086265087127686,,,,,,,,,,
4163,1990,"Taiwan, China",TWN,,2.0,11566.0,20.241799999999998,,74175.0,67015.0,160150.0,0.8816109895706177,,26.85300064086914,4.099999904632568,,,2.0,,0.8275291919708252,2230000000000.0,2010000000000.0,10980.666015625,0.6947349309921265,,,,,,,,,,
