country,year,gini_net,gini_market,rel_red,abs_red
Tajikistan,1986,24.2594890594482,33.0456657409668,,
Tajikistan,1987,26.4141006469727,29.6045551300049,,
Tajikistan,1988,28.5687141418457,26.163444519043,,
Tajikistan,1989,28.6660404205322,29.4789428710938,,
Tajikistan,1990,28.7642993927002,30.4103870391846,,
Tajikistan,1991,29.3692970275879,31.3973941802979,,
Tajikistan,1992,29.9742946624756,32.3843994140625,,
Tajikistan,1993,30.5792903900146,33.3714065551758,8.36679172515869,2.79211616516113
Tajikistan,1994,31.1842880249023,34.3584136962891,9.23827743530273,3.17412567138672
Tajikistan,1995,31.78928565979,35.3454208374023,10.0610914230347,3.5561351776123
Tajikistan,1996,32.264835357666,34.9108695983887,7.57939958572388,2.64603424072266
Tajikistan,1997,32.7403831481934,34.476318359375,5.03515243530273,1.73593521118164
Tajikistan,1998,33.2159309387207,34.0417671203613,2.42594981193542,0.825836181640625
Tajikistan,1999,33.691478729248,33.6072158813477,-0.2507284283638,-0.0842628479003906
Tajikistan,2000,33.7355194091797,33.9859848022461,0.736966729164124,0.250465393066406
Tajikistan,2001,33.7795562744141,34.3647537231445,1.70290017127991,0.585197448730469
Tajikistan,2002,33.8235931396484,34.743522644043,2.64777278900146,0.919929504394531
Tajikistan,2003,33.8676338195801,35.1222915649414,3.57225489616394,1.25465774536133
Tajikistan,2004,32.1485557556152,34.7841491699219,7.57699537277222,2.63559341430664
Tajikistan,2005,32.531925201416,34.0557823181152,4.47459125518799,1.52385711669922
Tajikistan,2006,32.9152908325195,33.3274192810059,1.23660469055176,0.412128448486328
Tajikistan,2007,33.2986602783203,32.5990524291992,-2.14609861373901,-0.699607849121094
Tajikistan,2008,32.9018173217773,33.8035507202148,2.66757011413574,0.9017333984375
Tajikistan,2009,32.5049743652344,35.0080490112305,7.14999771118164,2.50307464599609
Tanzania,1964,52.0775375366211,58.6653060913086,,
Tanzania,1969,41.6064834594727,45.2830200195312,,
Tanzania,1991,41.744571685791,46.9660797119141,,
Tanzania,1992,37.6225776672363,46.3861694335938,,
Tanzania,1993,36.4266586303711,38.572696685791,,
Tanzania,1994,36.1938362121582,38.8508338928223,,
Tanzania,1995,35.9610176086426,39.1289749145508,,
Tanzania,1996,35.7281951904297,39.407112121582,,
Tanzania,1997,35.4953727722168,39.6852531433105,,
Tanzania,1998,35.2625503540039,39.9633903503418,,
Tanzania,1999,35.0297317504883,40.2415313720703,,
Tanzania,2000,34.7969093322754,40.5196685791016,,
Tanzania,2001,38.6548461914062,37.2970657348633,,
Tanzania,2002,39.216423034668,38.2479705810547,,
Tanzania,2003,39.7779998779297,39.1988754272461,,
Tanzania,2004,40.3395767211914,40.1497802734375,,
Tanzania,2005,40.9011497497559,41.1006851196289,,
Tanzania,2006,41.4627265930176,42.0515899658203,,
Tanzania,2007,42.0243034362793,43.0024948120117,,
Tanzania,2008,39.8894729614258,42.1169090270996,,
Tanzania,2009,37.7546424865723,41.2313232421875,,
Tanzania,2010,35.6198120117188,40.3457374572754,,
Tanzania,2011,33.4849815368652,39.4601516723633,,
Thailand,1962,38.2329559326172,42.5924835205078,,
Thailand,1968,41.7691040039062,46.6005249023438,,
Thailand,1969,40.9532814025879,44.8833160400391,,
Thailand,1970,41.9423217773438,46.9086036682129,,
Thailand,1971,42.8891143798828,48.0174140930176,,
Thailand,1974,40.9910469055176,45.4893112182617,,
Thailand,1975,40.3978729248047,42.8102951049805,,
Thailand,1976,42.1983871459961,43.0564193725586,,
Thailand,1981,40.6528816223145,46.7873916625977,,
Thailand,1982,42.7529525756836,45.7304153442383,,
Thailand,1984,43.6301651000977,46.542652130127,,
Thailand,1986,46.233325958252,45.0988693237305,-2.51548790931702,-1.13445663452148
Thailand,1987,45.6127510070801,45.1957664489746,-0.922618627548218,-0.416984558105469
Thailand,1988,44.9921760559082,45.2926635742188,0.663435280323029,0.300487518310547
Thailand,1989,45.0469207763672,47.8686828613281,5.89479780197144,2.82176208496094
Thailand,1990,46.4906311035156,51.0488319396973,8.92909908294678,4.55820083618164
Thailand,1991,43.5325584411621,47.2380409240723,7.84427642822266,3.70548248291016
Thailand,1992,43.5605010986328,45.7001152038574,4.68185710906982,2.13961410522461
Thailand,1993,41.2841491699219,46.523365020752,11.2614727020264,5.23921585083008
Thailand,1994,43.4780006408691,46.1900329589844,5.87146663665771,2.71203231811523
Thailand,1995,43.1510467529297,45.0209503173828,4.15340757369995,1.86990356445312
Thailand,1996,42.824089050293,43.851863861084,2.34374260902405,1.02777481079102
Thailand,1997,42.2785453796387,44.6667404174805,5.34669637680054,2.3881950378418
Thailand,1998,41.7330017089844,45.4816131591797,8.24203681945801,3.74861145019531
Thailand,1999,41.0107917785645,42.768684387207,4.11023330688477,1.75789260864258
Thailand,2000,41.7853202819824,44.7035675048828,6.52799606323242,2.91824722290039
Thailand,2001,39.3492279052734,44.9748725891113,12.5084171295166,5.62564468383789
Thailand,2002,40.6938209533691,42.6565361022949,4.60120630264282,1.96271514892578
Thailand,2003,42.7453536987305,43.6687545776367,2.11455750465393,0.92340087890625
Thailand,2004,44.7968902587891,44.6809730529785,-0.259433031082153,-0.115917205810547
