code,year,gini_DS,quality,GDP_PWT,GDP_PC_PWT,gov_consumption_WB,years_schooling,democracy_index,GDP_MP_WB,GDP_growth_WB,inflation_WB,fertility_WB,dummy_africa,dummy_latin_america,openness
AFG,1996.0,,,,,,,0.0,,,,7.63,0.0,0.0,
AFG,1997.0,,,,,,,0.0,,,,7.636,0.0,0.0,
AFG,1998.0,,,,,,,0.0,,,,7.617000000000001,0.0,0.0,
AFG,1999.0,,,,,,,0.0,,,,7.571000000000001,0.0,0.0,
AFG,1999.0,,,,,,,0.0,,,,7.571000000000001,0.0,0.0,
AFG,2000.0,,,,,,2.86,0.0,,,,7.496,0.0,0.0,
AFG,2000.0,,,,,,2.86,0.0,,,,7.496,0.0,0.0,
AFG,2001.0,,,,,,,,,,,7.395,0.0,0.0,
AFG,2002.0,,,,,8.36466101701445,,,5150441046.5817,,,7.273,0.0,0.0,0.976744227499797
AFG,2003.0,,,,,9.77853654371352,,,5585352695.454761,8.44416322679218,,7.1370000000000005,0.0,0.0,1.3790103945402863
AFG,2004.0,,,,,10.5706119792764,,,5644309209.08199,1.05555578746555,,6.987,0.0,0.0,1.211358187004499
AFG,2005.0,,,,,10.5582479939106,3.21,,6275076016.47174,11.1752702416587,12.6862687216715,6.822,0.0,0.0,1.0486240056415068
AFG,2006.0,,,,,11.451926052412801,,,6623602374.347771,5.55413762257501,7.25489556090275,6.638999999999999,0.0,0.0,1.005553494113306
AFG,2007.0,,,,,10.9297752507093,,,7533698918.29582,13.7402049898513,8.482889267544829,6.437,0.0,0.0,0.761737610946716
AFG,2008.0,,,,,13.3092932083586,,,7805768539.79931,3.61136839226168,30.5549406065732,6.218,0.0,0.0,0.730655202440326
AFG,2009.0,,,,,11.673215962345099,,,9446591725.72443,21.0206487363678,-8.283078394595279,5.985,0.0,0.0,0.56906817424847
AFG,2010.0,,,,,14.336059919656401,3.85,,10243250246.5673,8.43329048161792,0.892536936481875,5.746,0.0,0.0,0.5496732809560431
AFG,2011.0,,,,,12.8320719096249,,,10869490317.7585,6.11368516942299,10.201660141582,5.506,0.0,0.0,0.503012220744035
AFG,2012.0,,,,,12.3597950192181,,,12438473124.446001,14.434741287952399,7.2182577605757,5.272,0.0,0.0,0.4465924776208204
