code,year,investments_WB,K_over_PIB,GDP_PC_PWT,years_schooling,openness_WB,savings_OECD,gini_market_SWIID,cap_share_income,catch-up,growth,10y_gini_var,10y_schl_var
AUS,2008.0,29.1473851407,565.49,10.506420554,11.476,0.421182385196,8.5602312034,0.51214717865,25.0,41061.4743116,-0.00933986396425,0.0039540367127,0.0354
AUS,2009.0,27.9243900675,517.25,10.5029239474,11.508,0.449469549664,6.42722029739,0.482585258484,28.0,43876.5585032,-0.00350272687765,0.0010580444336,0.0412
AUS,2010.0,27.5680773475,530.94,10.5441583577,11.54,0.398603636498,8.4591022099,0.46530921936,27.0,38299.9528437,0.0403958375645,-0.0034550628662,0.047
ITA,1975.0,23.4970581355,315.71,9.46105661899,6.16,0.375016002827,9.36912403702,0.514052581787,24.0,45448.5352974,-0.0136365698825,-0.005481010437,0.106
ITA,1976.0,26.2841921004,299.25,9.54200545897,6.27,0.413035006348,11.2038827173,0.475938110352,25.0,49608.6083229,0.0777591278951,-0.0109199206033,0.106666666667
ITA,1977.0,24.153789153,295.08,9.5905784249,6.38,0.41922679351,11.180773827,0.481975097656,24.0,50061.5690028,0.0474121696943,-0.008497505188,0.107142857143
ITA,1978.0,23.6061298936,289.48,9.64548573896,6.49,0.413799031309,11.9221121515,0.464771347046,26.0,49071.8064393,0.0534271221131,-0.00958578586575,0.1075
ITA,1979.0,24.1333986495,293.99,9.7243228742,6.6,0.438286876411,12.3679540406,0.466463432312,27.0,51420.2599793,0.0758095697559,-0.00833268907333,0.107777777778
ITA,1980.0,26.4521016745,317.09,9.77670494073,6.71,0.430887452789,9.95412878624,0.44270324707,28.0,50164.7245493,0.0510337706613,-0.0098754386902,0.108
ITA,1981.0,24.4022030907,359.3,9.75298592902,6.804,0.454044054002,7.2248479816,0.430285110474,26.0,53048.1689374,-0.0240025447346,-0.0093496398925,0.1068
ITA,1982.0,23.4544671153,376.68,9.7450721843,6.898,0.436258938602,6.68306315467,0.413633575439,26.0,51029.4143046,-0.00794514116345,-0.0117952384949,0.1056
ITA,1983.0,21.9859470193,372.69,9.73787515055,6.992,0.402984115735,7.21435283366,0.424653091431,26.0,47186.5724908,-0.00722299463972,-0.0116251678466,0.1044
ITA,1984.0,23.036889975,363.41,9.75234320352,7.086,0.425504137056,7.40126198003,0.420235099792,28.0,49718.4159186,0.0143638936184,-0.0080539016724,0.1032
ITA,1985.0,22.8976944286,358.15,9.76346101869,7.18,0.427524468575,6.96053995899,0.433155212402,28.0,49872.2996803,0.011056240666,-0.0080897369385,0.102
ITA,1986.0,21.491676606,366.59,9.82643164063,7.284,0.362612139397,7.20688144306,0.429682998657,30.0,41890.2651568,0.0610289415682,-0.0046255111695,0.1014
ITA,1987.0,21.8675417501,368.09,9.87453295891,7.388,0.356588084569,7.06804506109,0.459857940674,30.0,40868.9758602,0.0469627779065,-0.0022117156982,0.1008
ITA,1988.0,22.3128440633,364.64,9.92498384012,7.492,0.35206062149,7.20051461064,0.45368221283,31.0,39996.1273946,0.049199370303,-0.0011089134216,0.1002
ITA,1989.0,22.0655539562,396.05,9.97056151593,7.596,0.371529779477,6.50866784769,0.424036140442,31.0,41853.9016176,0.0445546153001,-0.004242729187,0.0996
ITA,1990.0,22.2926643828,442.08,10.0106708845,7.7,0.364199919118,6.52703239075,0.429588851929,29.0,40709.3966894,0.0393156353127,-0.0013114395141,0.099
ITA,1991.0,21.9373303851,478.64,10.0449029682,7.814,0.339700717432,5.76007425612,0.418195457458,28.0,37707.5661479,0.0336527947789,-0.0012089653016,0.101
ITA,1992.0,21.3134944672,526.58,10.0613523864,7.928,0.350081383973,4.5801432244,0.443183174133,28.0,38726.0792182,0.0163148653218,0.0029549598694,0.103
ITA,1993.0,18.8476181043,566.84,10.0514764577,8.042,0.378615026056,4.86304226367,0.470771141052,28.0,41969.6180048,-0.00992485667054,0.0046118049621,0.105
ITA,1994.0,18.7835465,557.98,10.0878063401,8.156,0.405646054855,5.12826007125,0.465583381653,30.0,44617.9811843,0.0356778718935,0.0045348281861,0.107
ITA,1995.0,19.8060470668,504.75,10.1295807041,8.27,0.458082930568,7.13136584334,0.476991691589,33.0,49915.706384,0.0409138394883,0.0043836479187,0.109
ITA,1996.0,19.130166736,493.93,10.1465602129,8.372,0.429671474516,7.46142864858,0.480101165771,33.0,46635.3177812,0.0168361693968,0.0050418167114,0.1088
ITA,1997.0,19.2620301867,508.98,10.1892172974,8.474,0.446651838371,7.38029386864,0.478828659058,33.0,47981.8958931,0.0417600709412,0.0018970718384,0.1086
ITA,1998.0,19.4816617984,528.88,10.2464077235,8.576,0.451928148611,6.59875334609,0.479990768433,33.0,47840.7753985,0.0555857888471,0.0026308555603,0.1084
ITA,1999.0,19.9968006968,539.02,10.2743743911,8.678,0.447074783514,6.16163797998,0.476828346252,34.0,46969.6744466,0.0275792206344,0.005279220581,0.1082
ITA,2000.0,20.7092022209,539.05,10.3006528091,8.78,0.504544671087,5.70154279294,0.480450706482,34.0,52618.1270822,0.025936145045,0.0050861854553,0.108
ITA,2001.0,20.6613692632,536.81,10.3222028432,8.854,0.501880679147,6.01740168658,0.46487575531,35.0,52015.0270114,0.0213194911346,0.0046680297852,0.104
